NM,length,ratio,assembly
3517,1599395,0.0021989564804191604,CHM1
1555,44580,0.034881112606550004,CHM1
434,24315,0.0178490643635616,CHM1
219,31860,0.0068738229755178895,CHM1
198,26319,0.007523082183973559,CHM1
112,38982,0.0028731209276076104,CHM1
385,75057,0.00512943496276164,CHM1
227,43941,0.00516601806968435,CHM1
721,53080,0.0135832705350414,CHM1
286,31195,0.00916813591921782,CHM1
282,12521,0.0225221627665522,CHM1
3062,1792536,0.00170819442398925,CHM1
3895,1693548,0.0022999052875974,CHM1
5629,19264,0.29220307308970095,CHM1
4932,17615,0.27998864604030704,CHM1
3512,12755,0.27534300274402196,CHM1
2410,9487,0.254031833034679,CHM1
12390,60302,0.20546582202912,CHM1
6947,39144,0.17747292049867197,CHM1
802,72201,0.0111078793922522,CHM1
1150,23427,0.0490886583856234,CHM1
1072,50925,0.0210505645557192,CHM1
2405,31643,0.0760041715387289,CHM1
301,53079,0.00567079259217393,CHM1
1217,57508,0.0211622730750504,CHM1
333,40242,0.00827493663336812,CHM1
90,23626,0.00380936256666385,CHM1
216,17756,0.0121649020049561,CHM1
254,28087,0.00904332965428846,CHM1
406,37722,0.010762950002650998,CHM1
449,22666,0.0198094061590047,CHM1
1654,14332,0.11540608428691,CHM1
421,36715,0.0114667029824322,CHM1
984,75955,0.0129550391679284,CHM1
275,15353,0.0179118087670162,CHM1
1056,34460,0.0306442251886245,CHM1
439,39987,0.0109785680346112,CHM1
3386,15645,0.216426973473953,CHM1
358,2765,0.129475587703436,CHM1
355,2859,0.124169289961525,CHM1
1158,11658,0.0993309315491508,CHM1
658,36557,0.0179992887819022,CHM1
1174,23665,0.0496091274033383,CHM1
2256,24473,0.0921832223266457,CHM1
834,12881,0.06474652589084699,CHM1
159,16565,0.00959855116208874,CHM1
464,22080,0.0210144927536232,CHM1
904,39108,0.0231154750946098,CHM1
747,18665,0.0400214304848647,CHM1
149,16470,0.00904675166970249,CHM1
7133,52324,0.13632367555997302,CHM1
4758,45152,0.10537739192062401,CHM1
2546,33150,0.0768024132730015,CHM1
2297,40567,0.0566223777947593,CHM1
3297,39620,0.0832155477031802,CHM1
1096,15466,0.0708651234967025,CHM1
1536,19584,0.0784313725490196,CHM1
998,22455,0.0444444444444444,CHM1
919,19866,0.0462599416087788,CHM1
2451,50932,0.0481229875127621,CHM1
735,21241,0.0346028906360341,CHM1
614,21778,0.0281935898613279,CHM1
436,22595,0.0192963044921443,CHM1
4059,43793,0.0926860457150686,CHM1
1891,31058,0.0608860841007148,CHM1
